module_id,program_uid,education_plan_uid,course_code,course_name_sv,module_order,module_code,module_name_exact,credits_hp,grading_scale,related_learning_outcomes_exact,module_description_exact,source_file,confidence,notes
VGSSY_OMG401_MODULE_011,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,11,0011,"Tentamen, individuell (mål 11)",2.0,UV,11,"Tentamen, individuell (mål 11) 2.0 hp UV",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_012,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,12,0012,"Seminarium, individuell bedömning (mål 12)",2.0,UV,12,"Seminarium, individuell bedömning (mål 12) 2.0 hp UV",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_013,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,13,0013,"Skriftlig examination, grupp med individuell bedömning (mål 13)",0.5,UG,13,"Skriftlig examination, grupp med individuell bedömning (mål 13) 0.5 hp UG",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_014,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,14,0016,"Tentamen, individuell (mål 24)",1.5,UG,24,"Tentamen, individuell (mål 24) 1.5 hp UG",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_015,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,15,0017,"Klinisk examination, individuell (mål 21-22)",1.0,UV,21-22,"Klinisk examination, individuell (mål 21-22) 1.0 hp UV",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_016,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,16,0018,"Klinisk examination, individuell (mål 23)",0.5,UG,23,"Klinisk examination, individuell (mål 23) 0.5 hp UG",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_017,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,17,0019,"Individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång (mål 14–20, 25–27)",9.0,UG,"14–20, 25–27","Individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång (mål 14–20, 25–27) 9.0 hp UG OMG401 6/6",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG402_MODULE_001,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",1,0001,"Tentamen, individuell (mål 1)",0.5,UG,1,"Moduler Tentamen, individuell (mål 1), 0,5 Högskolepoäng UG Tvågradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_002,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",2,0003,"Tentamen, individuell (mål 3)",4.5,UV,3,"Tentamen, individuell (mål 3), 4,5 Högskolepoäng UV Tregradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_003,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",3,0006,"Tentamen, individuell (mål 8)",0.5,UG,8,"Tentamen, individuell (mål 8), 0,5 Högskolepoäng UG Tvågradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_004,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",4,0007,"Seminarium, individuell bedömning (mål 8)",1.0,UG,8,"Seminarium, individuell bedömning (mål 8), 1,0 Högskolepoäng UG Tvågradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_005,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",5,0009,"Tentamen, individuell (mål 11)",1.0,UV,11,"Tentamen, individuell (mål 11), 1,0 Högskolepoäng UV Tregradig skala.",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_006,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",6,0010,"Tentamen, individuell (mål 12)",1.0,UV,12,"Tentamen, individuell (mål 12), 1,0 Högskolepoäng UV Tregradig skala.",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_007,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",7,0013,"Seminarium, individuell bedömning (mål 15,16)",1.5,UG,"15,16","Seminarium, individuell bedömning (mål 15,16) , 1,5 Högskolepoäng UG Tvågradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_008,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",8,0014,"Seminarium, individuell bedömning (mål 17)",1.0,UG,17,"Seminarium, individuell bedömning (mål 17), 1,0 Högskolepoäng UG Tvågradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_009,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",9,0016,Individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång (mål 19–29),9.0,UG,19–29,"Individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång (mål 19–29), 9,0 Högskolepoäng UG Tvågradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_010,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",10,0017,"Tentamen, individuell (mål 30)",0.5,UG,30,"Tentamen, individuell (mål 30), 0,5 Högskolepoäng UG Tvågradig skala.",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_011,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",11,0020,"Seminarium, individuell bedömning (mål 2)",1.0,UV,2,"Seminarium, individuell bedömning (mål 2), 1,0 Högskolepoäng UV Tregradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_012,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",12,0021,"Muntlig examination, individuell (mål 4)",1.5,UG,4,"Muntlig examination, individuell (mål 4), 1,5 Högskolepoäng UG Tvågradig skala",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
