alignment_id,module_id,course_code,module_code,learning_outcome_number,alignment_source_exact,source_file,confidence,notes
VGSSY_OMG402_MODULE_019_LO_32,VGSSY_OMG402_MODULE_019,OMG402,0028,32,"32, 33",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_019_LO_33,VGSSY_OMG402_MODULE_019,OMG402,0028,33,"32, 33",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG403_MODULE_001_LO_01,VGSSY_OMG403_MODULE_001,OMG403,0001,1,1,Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_002_LO_02,VGSSY_OMG403_MODULE_002,OMG403,0002,2,"2, 3, 23",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_002_LO_03,VGSSY_OMG403_MODULE_002,OMG403,0002,3,"2, 3, 23",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_002_LO_23,VGSSY_OMG403_MODULE_002,OMG403,0002,23,"2, 3, 23",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_003_LO_04,VGSSY_OMG403_MODULE_003,OMG403,0003,4,"4–6, 10",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_003_LO_05,VGSSY_OMG403_MODULE_003,OMG403,0003,5,"4–6, 10",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_003_LO_06,VGSSY_OMG403_MODULE_003,OMG403,0003,6,"4–6, 10",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_003_LO_10,VGSSY_OMG403_MODULE_003,OMG403,0003,10,"4–6, 10",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_004_LO_07,VGSSY_OMG403_MODULE_004,OMG403,0004,7,"7, 31",Kurs4_sskgrund_OMG403.pdf,high,
VGSSY_OMG403_MODULE_004_LO_31,VGSSY_OMG403_MODULE_004,OMG403,0004,31,"7, 31",Kurs4_sskgrund_OMG403.pdf,high,
