outcome_id,program_uid,education_plan_uid,course_code,course_name_sv,outcome_order,outcome_category_if_stated,text_exact,verb_or_action,source_file,confidence,notes
VGSSY_OMG401_LO_12,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,12,Kunskap och förståelse,identifiera och redogöra för hur klinisk omvårdnad förhåller sig till de delar som ingår i evidensbaserad omvårdnad,identifiera,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_13,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,13,Kunskap och förståelse,"redogöra för medicinsktekniskt moment utifrån författningar, procedurer och skötsel med beaktande av ett etiskt förhållningssätt",redogöra,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_14,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,14,Färdighet och förmåga,tillämpa god kommunikation i mötet med patient och närstående samt kunna ge anpassad information gällande grundläggande omvårdnad,tillämpa,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_15,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,15,Färdighet och förmåga,"tillämpa omvårdnadsprocessens samtliga steg (bedöma, identifiera, planera, prioritera, utföra och följa upp vård samt rapportera och dokumentera) i grundläggande omvårdnad",tillämpa,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_16,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,16,Färdighet och förmåga,"följa ordination, iordningsställa och administrera/överlämna läkemedel",följa,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_17,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,17,Färdighet och förmåga,medverka vid och genomföra undersökningar och behandlingar,medverka,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_18,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,18,Färdighet och förmåga,samverka med och informera teamet runt patienten samt olika yrkesgrupper inom och utanför verksamheten utifrån patientens behov av grundläggande omvårdnad,samverka,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_19,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,19,Färdighet och förmåga,"planera, prioritera, samordna och följa upp patientens grundläggande omvårdnadsbehov","planera,",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_20,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,20,Färdighet och förmåga,visa och ta initiativ inom sjuksköterskans ansvarsområde gällande grundläggande omvårdnad samt motivera sitt handlande,visa,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_21,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,21,Färdighet och förmåga,"utifrån en simulerad vårdsituation, identifiera en patients grundläggande omvårdnadsproblem genom lämplig kommunikationsstrategi, ge anpassad information samt ge förslag på adekvata omvårdnadsåtgärder",utifrån,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_22,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,22,Färdighet och förmåga,"utföra kapillär och venös provtagning, subkutana injektioner samt insättning av perifer venkateter i enlighet med evidensbaserat metod- och kunskapsstöd 2026-03-18 11:39 OMG401 https://edu.hig.se/docs/sv/syllabus/course/OMG401?valid-from=2026-01-19 2/6",utföra,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_23,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,23,Färdighet och förmåga,"utföra kateterisering av urinblåsa och sköta katetrar i urinblåsan, utföra grundläggande sårvård och syrgasbehandling i enlighet med evidensbaserat metod- och kunskapsstöd",utföra,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_24,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,24,Färdighet och förmåga,"tillämpa läkemedelsräkning avseende spädning, infusion, dos, styrka samt gas",tillämpa,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_25,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,25,Värderingsförmåga och förhållningssätt,tillämpa evidensbaserad samt god och säker vård utifrån gällande författningar och styrdokument samt visa sitt kunnande i handlingsberedskap i grundläggande omvårdnad,tillämpa,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_26,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,26,Värderingsförmåga och förhållningssätt,"visa förmåga till ett professionellt, personcentrerat, empatiskt och hälsofrämjande förhållningssätt i samverkan med såväl olika yrkesgrupper som patienter och närstående",visa,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_27,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,27,Värderingsförmåga och förhållningssätt,visa självkännedom i den egna professionella kompetensen samt kunna identifiera sitt behov av ytterligare kunskap för att fortlöpande utveckla sin professionella kompetens inom grundläggande omvårdnad,visa,Kurs2_sskgrund_OMG401.pdf,high,
