exam_id,exam_source,program_uid,education_plan_uid,course_code,course_name_sv,module_code_if_stated,module_name_if_stated,credits_hp_if_stated,exam_order,examination_text_exact,examination_category,grading_scale_if_stated,related_learning_outcomes_if_stated,source_file,confidence,notes
VGSSY_OMG805_EXAM_SECTION_01,examination_section,VGSSY,VGSSY,OMG805,Självständigt arbete (examensarbete) i omvårdnad,not_applicable,not_applicable,not_applicable,1,"Författa, presentera och försvara ett examensarbete samt granska och opponera på en annan students examensarbete. 2026-03-18 11:40 OMG805 https://edu.hig.se/docs/sv/syllabus/course/OMG805?valid-from=2027-01-18 2/3",other,course_level,missing,Kurs6_sskgrund_OMG805.pdf,high,Semicolon-split from examination section.
VGSSY_MVG201_EXAM_MODULE_0001,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0001,"Klinisk färdighetsträning, individuell samt seminarium, individuell bedömning (mål 1, 12)",1.0,1,"Klinisk färdighetsträning, individuell samt seminarium, individuell bedömning (mål 1, 12)",practical_skills_assessment|seminar,UG,"1, 12",Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_MVG201_EXAM_MODULE_0002,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0002,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 2, 3)",2.0,2,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 2, 3)",oral,UG,"2, 3",Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_MVG201_EXAM_MODULE_0003,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0003,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 4)",1.0,3,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 4)",oral,UG,4,Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_MVG201_EXAM_MODULE_0004,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0004,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 5)",1.0,4,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 5)",oral,UG,5,Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_MVG201_EXAM_MODULE_0005,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0005,"Tentamen, individuell (mål 6)",5.0,5,"Tentamen, individuell (mål 6)",written_exam,UV,6,Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_MVG201_EXAM_MODULE_0006,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0006,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 7)",2.0,6,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 7)",oral,UG,7,Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_MVG201_EXAM_MODULE_0007,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0007,"Tentamen, individuell (mål 8)",3.0,7,"Tentamen, individuell (mål 8)",written_exam,UV,8,Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_MVG201_EXAM_MODULE_0008,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0008,"Skriftlig examination, grupp med individuell bedömning (mål 9)",1.0,8,"Skriftlig examination, grupp med individuell bedömning (mål 9)",written,UG,9,Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
VGSSY_MVG201_EXAM_MODULE_0009,module_table,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,0009,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 10)",2.0,9,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 10)",oral,UG,10,Kurs1_sskgrund_MVG201.pdf,high,"Derived from module table; module table is treated as authoritative for hp, grading scale and learning-outcome linkage."
