course_family_id,course_uid,course_version,is_current,version_status,replaces_course_uid,superseded_by_course_uid,source_file,source_file_hash_if_available,program,education_level,course_code,course_name_sv,course_name_en,credits_hp,main_field,progression,cycle,semester_or_year_if_stated,syllabus_valid_from,decision_date,revision_date,language,department_or_faculty,status,notes
OMA709,OMA709_v01,1,yes,baseline_initial_import,none,none,Kurs6_Distrikt_OMA709.pdf,987d7bf6d48757a6b7f2f51f7d3f86f3f5576f4c79a042278b062e028b73b4db,Specialistsjuksköterskeprogrammet - inriktning distriktssköterska,Avancerad nivå,OMA709,Examensarbete inom distriktssköterskans kunskapsområde,Thesis in district nursing on advanced level,15.0,Omvårdnad,A1E,advanced,missing,2024-09-02,missing,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMA080,OMA080_v01,1,yes,baseline_initial_import,none,none,Kurs2_IVA_OMA080.pdf,2390ae7b1404fd96502ce42b7a8fd1f7df82e4dd3fbc6b5e739df01000f26169,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA080,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning intensivvård,Nursing Science - Scientific method and theory on advanced level within Intensive Care,7.5,Omvårdnad,A1N,advanced,missing,2025-01-20,2023-10-23,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMA081,OMA081_v01,1,yes,baseline_initial_import,none,none,Kurs1_IVA_OMA081.pdf,fbf98d0e6f42740fd7933750b0cfbd301b2c8441c0dbfb4e2dc501391e4ca99e,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,Advanced Specialist Nursing in Intensive Care I,22.5,Omvårdnad,A1N,advanced,missing,2025-01-20,2023-12-14,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMA405,OMA405_v01,1,yes,baseline_initial_import,none,none,Kurs3_IVA_OMA405.pdf,5eb95b74f21f2970b07437f289f26fa4b01548bc851ba5651591a155c4702cbb,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA405,Avancerad omvårdnad med inriktning mot intensivvård II,Advanced Specialist Nursing in Intensive Care II,15.0,Omvårdnad,A1F,advanced,missing,2025-09-01,2023-12-14,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMA716,OMA716_v01,1,yes,baseline_initial_import,none,none,Kurs4_IVA_OMA716.pdf,7aa84e71dc0d2eb655e92b329de66afeb11446fafffc1e0231631fc592708089,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA716,Examensarbete inom intensivvårdssjuksköterskans kunskapsområde,Thesis in Nursing Intensive Care on advanced level,15.0,Omvårdnad,A1E,advanced,missing,2025-01-20,2023-10-23,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
MVA308,MVA308_v01,1,yes,baseline_initial_import,none,none,Kurs4_äldre_MVA308.pdf,9d32d9aaa67cb1845b981cfd541568d56a3c2586c9f2956f97f3ab48919b7fc5,Specialistsjuksköterskeprogrammet - inriktning vård av äldre,Avancerad nivå,MVA308,Geriatrisk farmakologi och delegering,Geriatric pharmacology and delegation,7.5,Medicinsk vetenskap,A1F,advanced,missing,2023-01-16,2021-10-28,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMA131,OMA131_v01,1,yes,baseline_initial_import,none,none,Kurs1_äldre_OMA131.pdf,8034c316cff68bd14637385db8e709f7e5de968015be2ef0885f8e680affc10b,Specialistsjuksköterskeprogrammet - inriktning vård av äldre,Avancerad nivå,OMA131,Gerontologisk omvårdnad,Gerontological nursing,7.5,Omvårdnad,A1N,advanced,missing,2022-08-29,2021-10-28,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMA132,OMA132_v01,1,yes,baseline_initial_import,none,none,Kurs2_äldre_OMA132.pdf,823a021c83a6d1d595169dfe364acfbebb9336f025fd46da803150fac6247f74,Specialistsjuksköterskeprogrammet - inriktning vård av äldre,Avancerad nivå,OMA132,Omvårdnad - Vetenskaplig metod och teori avancerad nivå,Nursing Science - Scientific method and theory on advanced level,7.5,Omvårdnad,A1N,advanced,missing,2022-08-29,2021-10-28,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMA133,OMA133_v01,1,yes,baseline_initial_import,none,none,Kurs3_äldre_OMA133.pdf,15db238cf5c9897722820ce4a5115334316e74f2deb4e04c84d35c9b5f9a560a,Specialistsjuksköterskeprogrammet - inriktning vård av äldre,Avancerad nivå,OMA133,Äldres sjukdomar - vård och behandling,Elderly disease - caring and treatment,7.5,Medicinsk vetenskap; Omvårdnad,A1N,advanced,missing,2023-01-16,2021-10-28,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMA135,OMA135_v01,1,yes,baseline_initial_import,none,none,Kurs5_äldre_OMA135.pdf,a1f1b1b5082281e11f729dae9aa14f8da028b7977d550781be447af45439cd2b,Specialistsjuksköterskeprogrammet - inriktning vård av äldre,Avancerad nivå,OMA135,"Palliativ vård, omvårdnad och avancerad hemsjukvård av äldre i livets slut","Palliative care, and caring and advanced home care of elderly at end of life",7.5,Omvårdnad,A1N,advanced,missing,2023-08-28,2021-10-28,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMA136,OMA136_v01,1,yes,baseline_initial_import,none,none,Kurs6_äldre_OMA136.pdf,ed13dcfa06c13dca49c6d2f981d5c14b6b8290d4c42bb0adfc8a75a5fe052b81,Specialistsjuksköterskeprogrammet - inriktning vård av äldre,Avancerad nivå,OMA136,Organisation och arbetsledning inom äldresjuksköterskans ansvarsområde,Organization and staffmanagement within the area of elderly nurse's area of responsibility,7.5,Omvårdnad,A1N,advanced,missing,2023-08-28,2021-10-28,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMA708,OMA708_v01,1,yes,baseline_initial_import,none,none,Kurs7_äldre_OMA708.pdf,df333f3a4716aacc1ce19d83fa10679ec66f55267c365954432bc58016f71299,Specialistsjuksköterskeprogrammet - inriktning vård av äldre,Avancerad nivå,OMA708,Omvårdnad- Examensarbete inom vård av äldres kunskapsområde,Caring Science - Thesis in elderly care on advanced level,15.0,Omvårdnad,A1E,advanced,missing,2023-08-28,2021-10-28,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
