content_id,lineage_uid,lineage_confidence,course_family_id,course_uid,course_version,is_current,program,education_level,course_code,course_name_sv,content_order,text_exact,content_area_candidate,explicit_terms,source_file,confidence,notes
OMA406_v01_CONTENT_003,OMA406_CONTENT_003,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,3,pediatrisk anestesisjukvård,barn/pediatrik,pediatrisk,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_CONTENT_004,OMA406_CONTENT_004,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,4,anestesisjukvård vid specifika sjukdomstillstånd,missing,missing,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_CONTENT_005,OMA406_CONTENT_005,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,5,etiska problem och dilemman,etik,etiska,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_CONTENT_006,OMA406_CONTENT_006,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,6,organdonation,organdonation,organdonation,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_CONTENT_007,OMA406_CONTENT_007,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,7,vård i livets slutskede,missing,missing,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_CONTENT_008,OMA406_CONTENT_008,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,8,samverkan och teamsamarbete,team/samverkan,samverkan,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_CONTENT_009,OMA406_CONTENT_009,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,9,organisatorisk och social arbetsmiljö,missing,missing,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_CONTENT_010,OMA406_CONTENT_010,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,10,katastrofmedicin och särskilda händelser,katastrofmedicin,katastrofmedicin,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_CONTENT_011,OMA406_CONTENT_011,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,11,icke-tekniska färdigheter,missing,missing,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_CONTENT_012,OMA406_CONTENT_012,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,12,verksamhetsförlagd utbildning inom anestesisjukvård,VFU/klinisk utbildning,verksamhetsförlagd utbildning,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA717_v01_CONTENT_001,OMA717_CONTENT_001,baseline,OMA717,OMA717_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA717,Examensarbete inom anestesisjuksköterskans kunskapsområde,1,kunskapsområde innefattande;,missing,missing,Kurs4_Anestesi_OMA717.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA717_v01_CONTENT_002,OMA717_CONTENT_002,baseline,OMA717,OMA717_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA717,Examensarbete inom anestesisjuksköterskans kunskapsområde,2,+ litteratursökning,missing,missing,Kurs4_Anestesi_OMA717.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA717_v01_CONTENT_003,OMA717_CONTENT_003,baseline,OMA717,OMA717_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA717,Examensarbete inom anestesisjuksköterskans kunskapsområde,3,+ vetenskapsmetodik,missing,missing,Kurs4_Anestesi_OMA717.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA717_v01_CONTENT_004,OMA717_CONTENT_004,baseline,OMA717,OMA717_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA717,Examensarbete inom anestesisjuksköterskans kunskapsområde,4,+ forskningsetik,forskningsetik,forskningsetik,Kurs4_Anestesi_OMA717.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA717_v01_CONTENT_005,OMA717_CONTENT_005,baseline,OMA717,OMA717_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA717,Examensarbete inom anestesisjuksköterskans kunskapsområde,5,+ vetenskapsteori,missing,missing,Kurs4_Anestesi_OMA717.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA717_v01_CONTENT_006,OMA717_CONTENT_006,baseline,OMA717,OMA717_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA717,Examensarbete inom anestesisjuksköterskans kunskapsområde,6,+ opponering på och försvar av vetenskapligt arbete,examensarbete/opposition,opponering,Kurs4_Anestesi_OMA717.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA717_v01_CONTENT_007,OMA717_CONTENT_007,baseline,OMA717,OMA717_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA717,Examensarbete inom anestesisjuksköterskans kunskapsområde,7,+ forskningsprocess,missing,missing,Kurs4_Anestesi_OMA717.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA081_v01_CONTENT_001,OMA081_CONTENT_001,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,1,+ fysiologi och etiologi relaterat till organsvikt,missing,missing,Kurs1_IVA_OMA081.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA081_v01_CONTENT_002,OMA081_CONTENT_002,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,2,+ farmakologi och läkemedelsräkning,läkemedel/farmakologi,läkemedelsräkning; farmakologi,Kurs1_IVA_OMA081.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA081_v01_CONTENT_003,OMA081_CONTENT_003,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,3,Mips:leduNig selocs/svsykabuabourse/OMADS 1 7vakd-tom=2025-01-20 24,missing,missing,Kurs1_IVA_OMA081.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA081_v01_CONTENT_004,OMA081_CONTENT_004,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,4,-- OCR page 3 ---,missing,missing,Kurs1_IVA_OMA081.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA081_v01_CONTENT_005,OMA081_CONTENT_005,baseline,OMA081,OMA081_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning intensivvård,Avancerad nivå,OMA081,Avancerad omvårdnad med inriktning mot intensivvård I,5,"+ medicinsk teknik, gas- och ellära",missing,missing,Kurs1_IVA_OMA081.pdf,medium,extraction_method=ocr_swe_70dpi_cached
